name_congressperson,pol_party,house,gender,has_twitter,twitter,num_followers,num_terms,DOB
Mauro Benevides Filho,PDT,deputies,M,1,@mauro_bfilho,5848,1,3/9/1959
Mauro Nazif,PSB,deputies,M,1,@drmauronazif,53,3,1/30/1959
Merlong Solano,PT,deputies,M,1,@merlongsolano,3398,2,9/17/1958
Miguel Lombardi,PL,deputies,M,1,@Dmiguellombardi,537,2,1/29/1964
Milton Vieira,REPUBLICANOS,deputies,M,1,@MiltonVieiraOfc,1000,2,9/16/1962
Moses Rodrigues,MDB,deputies,M,1,@DepFederalMoses,2103,2,6/6/1978
Natália Bonavides,PT,deputies,F,1,@natbonavides,81300,1,6/15/1988
Nelson Barbudo,PSL,deputies,M,1,@nelsonbarbudo,1510,1,2/14/1960
Nereu Crispim,PSL,deputies,M,1,@nereucrispim,3728,1,7/21/1963
Neri Geller,PP,deputies,M,1,@NeriGeller,689,3,11/7/1968
Newton Cardoso Jr,MDB,deputies,M,1,@newton1510,3377,2,11/11/1979
Nicoletti,PSL,deputies,M,1,@depnicoletti,4623,1,7/21/1981
Nilson Pinto,PSDB,deputies,M,1,@DepNilsonPinto,2732,6,3/25/1952
Nilto Tatto,PT,deputies,M,1,@NiltoTatto,16000,2,7/31/1963
Nivaldo Albuquerque,PTB,deputies,M,1,@NivaldoAlbuque,79,2,1/7/1988
Odair Cunha,PT,deputies,M,1,@odaircunhamg,6055,5,6/18/1976
Olival Marques,DEM,deputies,M,1,@OLIVALMARQUES,455,1,1/9/1982
Orlando Silva,PCdoB,deputies,M,1,@orlandosilva,79000,2,5/27/1971
Osires Damaso,PSC,deputies,M,1,@OrDamaso,782,1,4/16/1963
Osmar Terra,MDB,deputies,M,1,@OsmarTerra,364600,6,2/18/1950
Ossesio Silva,REPUBLICANOS,deputies,M,1,@OssesioSilva,1910,1,12/9/1954
Otoni de Paula,PSC,deputies,M,1,@OtoniDepFederal,174700,1,11/22/1976
Otto Alencar Filho,PSD,deputies,M,1,@ottoalencar,632,1,7/7/1977
Padre João,PT,deputies,M,1,@dep_padrejoao,15500,3,2/28/1967
Pastor Eurico,PATRIOTA,deputies,M,1,@DEPPASTOREURICO,1133,3,9/12/1962
Pastor Gil,PL,deputies,M,1,@pastorgil_,3081,1,11/8/1971
Pastor Sargento Isidório,AVANTE,deputies,M,1,@prisidorio,243,1,7/28/1962
Patrus Ananias,PT,deputies,M,1,@Patrus_Ananias,17900,3,1/26/1952
Paula Belmonte,CIDADANIA,deputies,F,1,@paulambelmonte,26100,1,6/23/1973
Paulão,PT,deputies,F,1,@paulaodopt,26100,3,9/15/1957
Paulo Abi-Ackel,PSDB,deputies,M,1,@pauloabiackel,3937,4,6/21/1963
Paulo Bengtson,PTB,deputies,M,1,@PauloBengtson,662,1,1/6/1974
Paulo Eduardo Martins,PSC,deputies,M,1,@PauloMartins10,312600,2,4/20/1981
Paulo Freire Costa,PL,deputies,M,1,@DF_PauloFreire,5469,3,2/14/1955
Paulo Ganime,NOVO,deputies,M,1,@pauloganime,64600,1,4/19/1983
Paulo Guedes,PT,deputies,M,1,@deppauloguedes,9204,1,10/1/1970
Paulo Pereira da Silva,SOLIDARIEDADE,deputies,M,1,@dep_paulinho,21100,4,2/24/1956
Paulo Pimenta,PT,deputies,M,1,@DeputadoFederal,404900,5,3/19/1965
Paulo Ramos,PDT,deputies,M,1,@pauloramosdep,1973,3,10/18/1944
Paulo Teixeira,PT,deputies,M,1,@pauloteixeira13,211200,4,5/6/1961
Pedro Augusto Bezerra,PTB,deputies,M,1,@PedroABezerra,980,1,10/11/1980
Pedro Cunha Lima,PSDB,deputies,M,1,@pedroocl,10000,2,8/15/1988
Pedro Lucas Fernandes,PTB,deputies,M,1,@depPedroLucasF,1855,1,11/1/1979
Pedro Lupion,DEM,deputies,M,1,@pedro_lupion,9251,1,6/4/1983
Pedro Paulo,DEM,deputies,M,1,@pedropaulo,14200,3,6/29/1972
Pedro Uczai,PT,deputies,M,1,@uczai,18000,3,3/10/1963
Pedro Westphalen,PP,deputies,M,1,@pedrowestphalen,3626,1,12/19/1950
Perpétua Almeida,PCdoB,deputies,F,1,@perpetua_acre,23800,4,12/28/1964
Pinheirinho,PP,deputies,M,1,@pinheirinhomg,1405,1,5/30/1991
Policial Katia Sastre,PL,deputies,F,1,@KatiaSastre,12900,1,4/4/1976
Pompeo de Mattos,PDT,deputies,M,1,@PompeodeMattos,17900,5,7/12/1958
Pr. Marco Feliciano,REPUBLICANOS,deputies,M,1,@marcofeliciano,695200,3,10/12/1972
Professor Israel Batista,PV,deputies,M,1,@ProfIsrael,10800,1,5/2/1982
Professor Joziel,PSL,deputies,M,1,@professorjoziel,3169,1,4/22/1966
Professora Dayane Pimentel,PSL,deputies,F,1,@deppimentel,47100,1,1/30/1986
Professora Dorinha Seabra Rezende,DEM,deputies,F,1,@profdorinha,7916,3,10/1/1964
Professora Marcivania,PCdoB,deputies,F,1,@profmarcivania,6281,3,6/21/1973
Professora Rosa Neide,PT,deputies,F,1,@prof_rosaneide,11200,1,8/8/1963
Rafael Motta,PSB,deputies,M,1,@RafaelMottaRN,6704,2,8/15/1986
Raimundo Costa,PL,deputies,M,1,@raimundocostaba,533,1,3/9/1961
Raul Henry,MDB,deputies,M,1,@RaulHenry,5906,3,6/6/1964
Reginaldo Lopes,PT,deputies,M,1,@ReginaldoLopes,31600,5,4/2/1973
Reinhold Stephanes Junior,PSD,deputies,M,1,@StephanesJr,6750,1,7/26/1965
Rejane Dias,PT,deputies,F,1,@rejane_dias,7546,2,9/4/1972
Renato Queiroz,MDB,deputies,M,1,@renatoaqueiroz,1409,1,12/31/1983
Renildo Calheiros,PCdoB,deputies,M,1,@renildo,4921,4,4/20/1959
Ricardo Barros,PP,deputies,M,1,@RicardoBarrosPP,24600,6,11/15/1959
Ricardo Guidi,PSD,deputies,M,1,@ricardozguidi,451,1,9/28/1977
Ricardo Izar,PP,deputies,M,1,@RicardoIzar,2870,3,8/1/1968
Ricardo Silva,PSB,deputies,M,1,@RicardoSilvaRP,734,1,9/1/1985
Roberto Alves,REPUBLICANOS,deputies,M,1,@RobertoAlves_10,1197,3,5/27/1960
Roberto de Lucena,PODE,deputies,M,1,@robertodelucena,3545,3,4/18/1966
Roberto Pessoa,PSDB,deputies,M,1,@RobertoPessoaCE,278,4,5/21/1943
Rodrigo Agostinho,PSB,deputies,M,1,@rodrigoagost,7765,1,12/12/1977
Rodrigo Coelho,PSB,deputies,M,1,@coelho_rodrigo,7459,1,6/29/1980
Rodrigo de Castro,PSDB,deputies,M,1,@RodrigoCastro45,6867,4,7/15/1971
Rodrigo Maia,DEM,deputies,M,1,@RodrigoMaia,969200,6,6/12/1970
Rogério Correia,PT,deputies,M,1,@RogerioCorreia_,74600,1,1/11/1958
Roman,PATRIOTA,deputies,M,1,@roman_evandro,2839,2,3/3/1973
Ronaldo Carletto,PP,deputies,M,1,@ronaldocarletto,909,2,1/5/1960
Ronaldo Martins,REPUBLICANOS,deputies,M,1,@10ronaldomartin,281,2,1/21/1978
Rosana Valle,PSB,deputies,F,1,@DepRosanaValle,3297,1,5/8/1969
Rosangela Gomes,REPUBLICANOS,deputies,F,1,@rosangelasgomes,2798,2,12/27/1966
Rose Modesto,PSDB,deputies,F,1,@rosemodestoms,1284,1,2/20/1978
Rubens Bueno,CIDADANIA,deputies,M,1,@23rubensbueno,15000,5,5/23/1948
Rubens Otoni,PT,deputies,M,1,@RubensOtoni,33500,5,2/6/1956
Rubens Pereira Júnior,PCdoB,deputies,M,1,@rubenspereirajr,21000,2,3/16/1984
Rui Falcão,PT,deputies,M,1,@rfalcao13,147400,2,11/26/1943
Ruy Carneiro,PSDB,deputies,M,1,@ruycarneiropb,14200,2,8/17/1970
Sâmia Bomfim,PSOL,deputies,F,1,@samiabomfim,419000,1,8/22/1989
Samuel Moreira,PSDB,deputies,M,1,@samuelmoreira,10900,2,2/9/1963
Sanderson,PSL,deputies,M,1,@DepSanderson,41500,1,12/1/1969
Sargento Fahur,PSD,deputies,M,1,@SargentoFAHUR,616900,1,11/6/1963
Schiavinato,PP,deputies,M,1,@Schiavinato_,1708,1,9/12/1954
Sergio Souza,MDB,deputies,M,1,@_sergiosouza,2647,1,3/13/1971
Sergio Toledo,PL,deputies,M,1,@depsergiotoledo,1016,1,1/29/1962
Sergio Vidigal,PDT,deputies,M,1,@vidigalsergio,1616,2,5/8/1957
Shéridan,PSDB,deputies,F,1,@DepSheridan,43200,2,4/11/1984
Sidney Leite,PSD,deputies,M,1,@sidneyleite_,2441,1,4/8/1967
Silas Câmara,REPUBLICANOS,deputies,M,1,@silascamara_,30900,6,12/15/1962
Silvia Cristina,PDT,deputies,F,1,@silviacristinax,460,1,1/15/1974
Silvio Costa Filho,REPUBLICANOS,deputies,M,1,@Silvio_CFilho,8844,1,3/5/1982
Soraya Santos,PL,deputies,F,1,@sorayasantos,2462,2,12/4/1958
Sóstenes Cavalcante,DEM,deputies,M,1,@DepSostenes,49100,2,1/16/1975
Stefano Aguiar,PSD,deputies,M,1,@depstefano,2231,3,3/3/1976
Subtenente Gonzaga,PDT,deputies,M,1,@SubGonzagaMG,1683,3,5/31/1962
Tabata Amaral,PDT,deputies,F,1,@tabataamaralsp,347100,1,11/14/1993
Tadeu Alencar,PSB,deputies,M,1,@TadeuAlencarPE,1173,2,4/8/1963
Tadeu Filippelli,MDB,deputies,M,1,@filippellireal,649,4,5/11/1949
Talíria Petrone,PSOL,deputies,F,1,@taliriapetrone,270500,1,4/9/1985
Ted Conti,PSB,deputies,M,1,@tedcontioficial,761,1,12/28/1964
Tereza Nelma,PSDB,deputies,F,1,@TerezaNelma_,370,2,10/7/1957
Tiago Dimas,SOLIDARIEDADE,deputies,M,1,@tiago_dimas,2380,1,8/4/1988
Tiago Mitraud,NOVO,deputies,M,1,@TiagoMitraud,44700,1,8/15/1986
Tiririca,PL,deputies,M,1,@tiriricanaweb,59200,3,5/1/1965
Tito,AVANTE,deputies,M,1,@titodepfederal,743,1,11/17/1976
Toninho Wandscheer,PROS,deputies,M,1,@deputadotoninho,1072,2,8/31/1950
Túlio Gadêlha,PDT,deputies,M,1,@tuliogadelha,155500,1,11/12/1987
Valdevan Noventa,PL,deputies,M,1,@ValdevanNoventa,559,1,6/20/1969
Valmir Assunção,PT,deputies,M,1,@DepValmir,9837,3,12/17/1964
Vander Loubet,PT,deputies,M,1,@vanderloubet,7254,5,1/22/1964
Vanderlei Macris,PSDB,deputies,M,1,@vanderleimacris,8316,4,5/20/1950
Vavá Martins,REPUBLICANOS,deputies,M,1,@vavamartinspa,1040,1,6/3/1982
Vicentinho,PT,deputies,M,1,@VICENTINHOPT,43000,5,4/8/1956
Vicentinho Júnior,PL,deputies,M,1,@vicentinhojr,3152,2,4/11/1985
Vilson da Fetaemg,PSB,deputies,M,1,@vilsondafetaemg,350,1,5/1/1957
Vinicius Carvalho,REPUBLICANOS,deputies,M,1,@falecomvinicius,836,3,1/7/1966
Vinicius Farah,MDB,deputies,M,1,@Vinicius_Farah,164,1,6/21/1965
Vinicius Poit,NOVO,deputies,M,1,@ViniciusPoit,95600,1,1/31/1986
Vitor Hugo,PSL,deputies,M,1,@MajorVitorHugo,268900,1,5/31/1977
Vitor Lippi,PSDB,deputies,M,1,@DepVitorLippi,3965,2,5/18/1959
Waldenor Pereira,PT,deputies,M,1,@waldenorpereira,5491,3,3/8/1954
Walter Alves,MDB,deputies,M,1,@walteralvesrn,15500,2,2/27/1980
Weliton Prado,PROS,deputies,M,1,@pradoweliton,4392,3,8/24/1975
Wellington Roberto,PL,deputies,M,1,@wr22,1860,5,5/19/1959
Wilson Santiago,PTB,deputies,M,1,@WilsonSantiago_,8399,3,6/10/1957
Wladimir Garotinho,PSD,deputies,M,1,@WladGarotinho,4050,1,1/13/1985
Wolney Queiroz,PDT,deputies,M,1,@WolneyQueirozM,6158,6,12/12/1972
Zé Carlos,PT,deputies,M,1,@Dep_ZeCarlosPT,5472,2,5/26/1955
Zé Neto,PT,deputies,M,1,@ZeMarioGO,1489,1,3/30/1964
Zé Silva,SOLIDARIEDADE,deputies,M,1,@depzeneto,11300,3,5/11/1963
Zé Vitor,PL,deputies,M,1,@ZeSilva_,3040,1,11/1/1984
Zeca Dirceu,PT,deputies,M,1,@zeca_dirceu,97600,3,6/21/1978
ACIR GURGACZ,PDT,senator,M,1,@acirgurgacz,7549,5,2/25/1962
ALESSANDRO VIEIRA,CIDADANIA,senator,M,1,@Sen_Alessandro,153800,1,4/3/1975
ALVARO DIAS,PODEMOS,senator,M,1,@alvarodias_,424500,6,12/7/1944
ANGELO CORONEL,PSD,senator,M,1,@angelocoronel_,9757,1,5/3/1958
ANTONIO ANASTASIA,PSD,senator,M,1,@Anastasia,64800,1,5/9/1961
CARLOS FÁVARO,PSD,senator,M,1,@Carloshbfavaro,2637,2,10/19/1969
CARLOS PORTINHO,PL,senator,M,1,@carlosfportinho,997,1,7/2/1973
CARLOS VIANA,PSD,senator,M,1,@carlosaviana,46900,1,3/22/1963
CID GOMES,PDT,senator,M,1,@senadorcidgomes,171600,2,4/3/1951
CIRO NOGUEIRA,PP,senator,M,1,@ciro_nogueira,19800,2,4/27/1963
CONFUCIO MOURA,MDB,senator,M,1,@confuciomoura,8947,1,5/16/1948
DANIELLA RIBEIRO,PP,senator,F,1,@soudaniella111,14600,2,3/26/1972
DARIO BERGER,MDB,senator,M,1,@darioberger,9736,1,12/7/1956
DAVI ALCOLUMBRE,DEM,senator,M,1,@davialcolumbre,413700,1,6/19/1977
EDUARDO BRAGA,MDB,senator,M,1,@EduardoBraga_AM,84500,3,12/6/1960
EDUARDO GIRÃO,PODEMOS,senator,M,1,@EduGiraoOficial,73100,1,9/25/1972
EDUARDO GOMES,MDB,senator,M,1,@EduardoGomesTO,6582,2,4/28/1966
ELIZIANE GAMA,CIDADANIA,senator,F,1,@elizianegama,76600,1,2/27/1977
ELMANO FÉRRER,PP,senator,M,1,@elmanoferrer,10200,1,8/1/1942
ESPERIDIÃO AMIN,PP,senator,M,1,@esperidiaoamin_,20200,2,12/21/1947
FABIANO CONTARATO,REDE,senator,M,1,@ContaratoSenado,111300,3,6/20/1966
FERNANDO BEZERRA COELHO,MDB,senator,M,1,@fbezerracoelho,26700,1,12/7/1957
FERNANDO COLLOR,PROS,senator,M,1,@Collor,77200,5,8/12/1949
FLÁVIO ARNS,PODEMOS,senator,M,1,@ArnsFlavio,11300,2,11/9/1950
FLÁVIO BOLSONARO,REPUBLICANOS,senator,M,1,@FlavioBolsonaro,1600000,1,4/30/1981
HUMBERTO COSTA,PT,senator,M,1,@senadorhumberto,272600,2,7/7/1957
IRAJÁ,PSD,senator,M,1,@iraja555,6989,1,2/3/1983
IZALCI LUCAS,PSDB,senator,M,1,@IzalciLucas,10200,1,4/7/1956
JADER BARBALHO,MDB,senator,M,1,@jader_barbalho,22200,3,10/27/1944
JAQUES WAGNER,PT,senator,M,1,@jaqueswagner,110000,1,3/16/1951
JARBAS VASCONCELOS,MDB,senator,M,1,@Jarbas156,4864,2,8/23/1942
JAYME CAMPOS,DEM,senator,M,1,@JaymeSenador,287,4,9/13/1951
JEAN PAUL PRATES,PT,senator,M,1,@senadorjean,14300,1,6/19/1968
JORGE KAJURU,CIDADANIA,senator,M,1,@SenadorKajuru,274700,1,1/20/1961
JORGINHO MELLO,PL,senator,M,1,@jorginhomello,36400,1,7/15/1956
JOSÉ SERRA,PSDB,senator,M,1,@joseserra_,1300000,5,3/19/1942
KATIA ABREU,PP,senator,F,1,@KatiaAbreu,169900,7,2/2/1962
LASIER MARTINS,PODEMOS,senator,M,1,@lasiermartins,94200,1,4/14/1942
LEILA BARROS,PSB,senator,F,1,@leiladovolei,25100,1,9/30/1971
LUCAS BARRETO,PSD,senator,M,1,@LucasBarreto_AP,3038,2,11/10/1964
LUIS CARLOS HEINZE,PP,senator,M,1,@SenadorHeinze,43100,1,9/14/1950
LUIZ DO CARMO,MDB,senator,M,1,@_luizdocarmo,15400,1,4/2/1958
MAILZA GOMES,PP,senator,F,1,@MailzaGomes,8569,1,12/10/1976
MAJOR OLIMPIO,PSL,senator,M,1,@majorolimpio,455600,1,3/20/1962
MARA GABRILLI,PSDB,senator,F,1,@maragabrilli,58300,1,9/28/1967
MARCELO CASTRO,MDB,senator,M,1,@MarceloCastroPI,5183,1,6/9/1950
MARCIO BITTAR,MDB,senator,M,1,@marciombittar,13500,1,6/28/1963
MARCOS DO VAL,PODEMOS,senator,M,1,@marcosdoval,112100,1,6/15/1971
MARCOS ROGÉRIO,DEM,senator,M,1,@MarcosRogerio,124200,1,7/7/1978
MECIAS DE JESUS,REPUBLICANOS,senator,M,1,@meciasdejesus,3984,1,2/8/1962
NELSINHO TRAD FILHO,PSD,senator,M,1,@nelsinhotrad,9059,1,9/5/1961
NILDA GONDIM,MDB,senator,F,1,@nildagondimpb,4961,1,3/30/1936
OMAR AZIZ,PSD,senator,M,1,@OmarAzizSenador,203000,1,8/13/1958
ORIOVISTO GUIMARÃES,PODEMOS,senator,M,1,@Sen_Oriovisto,25300,1,8/12/1945
OTTO ALENCAR,PSD,senator,M,1,@ottoalencar,83000,1,8/28/1947
PAULO PAIM,PT,senator,M,1,@paulopaim,140500,3,3/15/1950
PAULO ROCHA,PT,senator,M,1,@senadorpaulor,49200,1,4/1/1951
PLÍNIO VALÉRIO,PSDB,senator,M,1,@PlinioValerio45,16500,1,1/31/1955
RANDOLFE RODRIGUES,REDE,senator,M,1,@randolfeap,414400,2,11/6/1972
REGUFFE,PODEMOS,senator,M,1,@Reguffe,135400,1,9/5/1972
RENAN CALHEIROS,MDB,senator,M,1,@renancalheiros,226800,5,9/16/1955
ROBERTO ROCHA,PSDB,senator,M,1,@RobertoRocha_MA,32300,2,8/4/1965
RODRIGO CUNHA,PSDB,senator,M,1,@RodrigoCunhaAL,11300,1,5/11/1981
RODRIGO PACHECO,DEM,senator,M,1,@rpsenador,76900,1,11/3/1976
ROGÉRIO CARVALHO,PT,senator,M,1,@SenadorRogerio,64900,1,8/2/1968
ROMÁRIO,PODEMOS,senator,M,1,@RomarioOnze,2500000,1,1/29/1966
ROSE DE FREITAS,MDB,senator,F,1,@senadorarose,21600,2,1/23/1949
SÉRGIO PETECÃO,PSD,senator,M,1,@senadorpetecao,11800,2,4/20/1960
SIMONE TEBET,MDB,senator,F,1,@SimoneTebetms,238000,1,2/22/1970
SORAYA THRONICKE,PSL,senator,F,1,@SorayaThronicke,128100,1,6/1/1973
STYVENSON VALENTIM,PODEMOS,senator,M,1,@SenStyvenson,20400,1,2/7/1977
TASSO JEREISSATI,PSDB,senator,M,1,@tassojereissati,49400,3,12/15/1948
TELMÁRIO MOTA,PROS,senator,M,1,@TelmarioMotaRR,10400,3,2/15/1958
VANDERLAN CARDOSO,PSD,senator,M,1,@Vanderlan_VC,12000,1,11/15/1962
VENEZIANO VITAL DO RÊGO,MDB,senator,M,1,@venezianovital,21400,2,7/17/1970
WELLINGTON FAGUNDES,PL,senator,M,1,@sen_wellington,7046,1,6/1/1957
WEVERTON,PDT,senator,M,1,@wevertonrocha,18600,1,10/8/1979
ZENAIDE MAIA,PROS,senator,F,1,@zenaidern,5635,1,11/27/1954
ZEQUINHA MARINHO,PSC,senator,M,1,@ZequinhaMarinho,3057,1,9/18/1959
